rule,type,severity,effort,example_message,category
php:S131,CODE_SMELL,CRITICAL,5min,"Add a ""case default"" clause to this ""switch"" statement.",Other
php:S138,CODE_SMELL,MAJOR,20min,"This function ""provideExecute"" has 318 lines, which is greater than the 150 lines authorized. Split it into smaller functions.",Code Complexity
php:S1448,CODE_SMELL,MAJOR,1h,"Class ""Atomic_Admin_Menu"" has 23 methods, which is greater than 20 authorized. Split it into smaller classes.",Code Complexity
php:S1481,CODE_SMELL,MINOR,5min,"Remove this unused ""$jetpack"" local variable.",Code Hygiene
php:S1488,CODE_SMELL,MINOR,2min,"Immediately return this expression instead of assigning it to the temporary variable ""$endpoint"".",Code Style
php:S1656,BUG,MAJOR,3min,Remove or correct this useless self-assignment,Logic Error
php:S1763,BUG,MAJOR,5min,Delete this unreachable code or refactor the code to make it reachable.,Logic Error
php:S1781,CODE_SMELL,MINOR,1min,"Write this ""NULL"" constant in lower case.",Other
php:S1784,BUG,MINOR,2min,"Explicitly mention the visibility of this method ""test_constants_not_set"".",Other
php:S1793,CODE_SMELL,MINOR,2min,"Replace this ""else if"" keyword sequence by ""elseif"" keyword.",Other
php:S1848,BUG,MAJOR,5min,"Either remove this useless object instantiation of class ""REST_Connector"" or use it",Other
php:S1854,CODE_SMELL,MAJOR,1min,Remove this useless assignment to local variable '$svg_icons'.,Code Hygiene
php:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 955.,Logic Error
php:S2003,BUG,MINOR,5min,"Replace ""include"" with ""include_once"".",Other
php:S2010,CODE_SMELL,MINOR,5min,"Replace ""AND"" with ""&&"".",Other
php:S2014,BUG,BLOCKER,15min,"Remove this use of ""$this"".",Other
php:S2166,CODE_SMELL,MAJOR,5min,"Rename this class to remove ""Exception"" or correct its inheritance.",Other
php:S2761,BUG,MAJOR,5min,"Use the ""!"" operator just once or not at all. If a type cast is intended, use ""(bool)"" instead.",Other
php:S3011,CODE_SMELL,MAJOR,30min,Make sure that this accessibility bypass is safe here.,Other
php:S3358,CODE_SMELL,MAJOR,5min,Extract this nested ternary operation into an independent statement.,Code Complexity
php:S3360,CODE_SMELL,BLOCKER,2min,"Rename this class to end with ""Test"" to ensure it will be executed by the PHPUnit CLI.",Other
php:S3415,CODE_SMELL,MAJOR,2min,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",Other
php:S3626,CODE_SMELL,MINOR,1min,Remove this redundant jump.,Code Hygiene
php:S3699,BUG,MAJOR,5min,"Remove this use of the output from ""self::create_error_notice_and_redirect""; ""self::create_error_notice_and_redirect"" doesn't return anything.",Logic Error
php:S3776,CODE_SMELL,CRITICAL,36min,Refactor this function to reduce its Cognitive Complexity from 46 to the 15 allowed.,Code Complexity
php:S3801,CODE_SMELL,MAJOR,20min,"Refactor this function to use ""return"" consistently.",Other
php:S3973,CODE_SMELL,CRITICAL,10min,"Use curly braces or indentation to denote the code conditionally executed by this ""if"".",Other
php:S4143,BUG,MAJOR,5min,Verify this is the array key that was intended to be written to; a value has already been saved for it and not used.,Other
php:S4144,CODE_SMELL,MAJOR,15min,"Update this method so that its implementation is not identical to ""get_dsp_stats"" on line 587.",Code Complexity
php:S4833,CODE_SMELL,MAJOR,5min,"Replace ""require_once"" with namespace import mechanism through the ""use"" keyword.",Other
php:S5361,CODE_SMELL,CRITICAL,2min,"Replace this ""preg_replace()"" call by a ""str_replace()"" function call.",Other
php:S5713,CODE_SMELL,MINOR,1min,Remove this useless Exception class; it derives from class mythicaldash\services\pterodactyl\exceptions\pterodactylexception which is already caught.,Error Handling
php:S5785,CODE_SMELL,MAJOR,2min,Simplify this expression by using assertFalse() and removing the comparison to 'true'.,Other
php:S5797,CODE_SMELL,CRITICAL,2min,Replace this expression; used as a condition it will always be constant.,Logic Error
php:S5842,BUG,MINOR,5min,Rework this part of the regex to not match the empty string.,Regex Issues
php:S5843,CODE_SMELL,MAJOR,30min,Simplify this regular expression to reduce its complexity from 31 to the 20 allowed.,Regex Issues
php:S5850,BUG,MAJOR,10min,Group parts of the regex together to make the intended operator precedence explicit.,Regex Issues
php:S5857,CODE_SMELL,MINOR,3min,"Replace this use of a reluctant quantifier with ""[^\)]*+"".",Regex Issues
php:S6019,CODE_SMELL,MAJOR,10min,Fix this reluctant quantifier that will only ever match 0 repetitions.,Regex Issues
php:S6035,CODE_SMELL,MAJOR,5min,Replace this alternation with a character class.,Regex Issues
php:S6353,CODE_SMELL,MINOR,5min,Use concise character class syntax '\d' instead of '[0-9]'.,Regex Issues
php:S6395,CODE_SMELL,MAJOR,5min,Unwrap this unnecessarily grouped subpattern.,Regex Issues
php:S6396,CODE_SMELL,MAJOR,5min,Remove this unnecessary quantifier.,Regex Issues
php:S6600,CODE_SMELL,CRITICAL,2min,"Remove the parentheses from this ""return"" call.",Other
php:S836,BUG,MAJOR,15min,Review the data-flow - use of uninitialized value.,Other
php:S930,BUG,MAJOR,10min,"""remove_filter"" expects 3 arguments, but 4 were provided. Reduce provided arguments or add more parameters.",Other
python:S100,CODE_SMELL,MINOR,5min,"Rename method ""GetTransaction"" to match the regular expression ^[a-z_][a-z0-9_]*$.",Naming Conventions
python:S101,CODE_SMELL,MINOR,5min,"Rename class ""ANE_Model"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$.",Naming Conventions
python:S1045,BUG,MAJOR,5min,Catch this exception only once; it is already handled by a previous except clause.,Other
python:S1066,CODE_SMELL,MAJOR,5min,Merge this if statement with the enclosing one.,Other
python:S107,CODE_SMELL,MAJOR,20min,"Function ""llm_request"" has 15 parameters, which is greater than the 13 authorized.",Code Complexity
python:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
python:S1110,CODE_SMELL,MAJOR,1min,Remove those redundant parentheses.,Other
python:S112,CODE_SMELL,MAJOR,20min,Replace this generic exception class with a more specific one.,Error Handling
python:S1134,CODE_SMELL,MAJOR,0min,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",Code Hygiene
python:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
python:S1143,BUG,CRITICAL,30min,"Remove this ""return"" statement from this ""finally"" block.",Error Handling
python:S1144,CODE_SMELL,MAJOR,2min,Remove this unused class-private '__log_error' method.,Code Hygiene
python:S116,CODE_SMELL,MINOR,2min,"Rename this field ""GetUploads"" to match the regular expression ^[_a-z][_a-z0-9]*$.",Naming Conventions
python:S117,CODE_SMELL,MINOR,2min,"Rename this local variable ""K_layer_cache"" to match the regular expression ^[_a-z][a-z0-9_]*$.",Naming Conventions
python:S1172,CODE_SMELL,MAJOR,5min,"Remove the unused function parameter ""mode"".",Code Hygiene
python:S1186,CODE_SMELL,CRITICAL,5min,"Add a nested comment explaining why this method is empty, or complete the implementation.",Empty/Incomplete Code
python:S1192,CODE_SMELL,CRITICAL,12min,"Define a constant instead of duplicating this literal ""model.model."" 6 times.",Code Complexity
python:S1226,BUG,MINOR,5min,Introduce a new variable or use its initial value before reassigning 'instance'.,Other
python:S1244,BUG,MAJOR,5min,Do not perform equality checks with floating point values.,Logic Error
python:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
python:S1481,CODE_SMELL,MINOR,5min,"Remove the unused local variable ""e"".",Code Hygiene
python:S1515,CODE_SMELL,MAJOR,30min,"Add a parameter to the parent lambda function and use variable ""signame"" as its default value; The value of ""signame"" might change at the next loop iteration.",Other
python:S1542,CODE_SMELL,MAJOR,10min,"Rename function ""bluetoothHRPacket__UNIFIED_HRM_MODEL"" to match the regular expression ^[a-z_][a-z0-9_]*$.",Naming Conventions
python:S1607,CODE_SMELL,MAJOR,2min,Provide a reason for skipping this test.,Other
python:S1656,BUG,MAJOR,3min,Remove or correct this useless self-assignment.,Logic Error
python:S1700,CODE_SMELL,MAJOR,10min,"Rename field ""retriever""",Naming Conventions
python:S1751,BUG,MAJOR,5min,Refactor this loop to do more than one iteration.,Logic Error
python:S1763,BUG,MAJOR,5min,Delete this unreachable code or refactor the code to make it reachable.,Logic Error
python:S1764,BUG,MAJOR,2min,"Correct one of the identical sub-expressions on both sides of operator ""!="".",Logic Error
python:S1845,CODE_SMELL,BLOCKER,10min,"Rename method ""Symbol"" to prevent any misunderstanding/clash with field ""symbol"" defined on line 394",Naming Conventions
python:S1854,CODE_SMELL,MAJOR,1min,Remove this assignment to local variable 'position_ids'; the value is never used.,Code Hygiene
python:S1862,BUG,MAJOR,10min,This branch duplicates the one on line 980.,Logic Error
python:S1871,CODE_SMELL,MAJOR,10min,"Either merge this branch with the identical one on line ""135"" or change one of the implementations.",Logic Error
python:S1940,CODE_SMELL,MINOR,2min,"Use the opposite operator (""!="") instead.",Code Style
python:S2053,VULNERABILITY,CRITICAL,30min,Make this salt unpredictable.,Security
python:S2159,BUG,BLOCKER,15min,Remove this equality check between incompatible types; it will always return False.,Logic Error
python:S2190,BUG,BLOCKER,30min,Add a way to break out of this method's recursion.,Other
python:S2201,BUG,MAJOR,5min,"The return value of ""dir"" must be used.",Logic Error
python:S2208,CODE_SMELL,CRITICAL,5min,Import only needed names or import the module and then use its members.,Other
python:S2638,CODE_SMELL,CRITICAL,15min,Add missing parameters mml.,Other
python:S2710,CODE_SMELL,CRITICAL,5min,"Rename ""self"" to a valid class parameter name or add the missing class parameter.",Other
python:S2711,BUG,BLOCKER,15min,"Remove this use of ""return"".",Other
python:S2737,CODE_SMELL,MINOR,5min,Add logic to this except clause or eliminate it and rethrow the exception automatically.,Error Handling
python:S2755,VULNERABILITY,BLOCKER,15min,Disable access to external entities in XML parsing.,Security
python:S2772,CODE_SMELL,MINOR,2min,"Remove this unneeded ""pass"".",Other
python:S2836,CODE_SMELL,MAJOR,5min,"Add a ""break"" statement or remove this ""else"" clause.",Other
python:S3358,CODE_SMELL,MAJOR,5min,Extract this nested conditional expression into an independent statement.,Code Complexity
python:S3403,BUG,BLOCKER,5min,"Remove this ""is not"" check; it will always be True.",Logic Error
python:S3457,CODE_SMELL,MAJOR,1min,Add replacement fields or use a normal string instead of an f-string.,Other
python:S3516,CODE_SMELL,BLOCKER,2min,Refactor this method to not always return the same value.,Other
python:S3626,CODE_SMELL,MINOR,1min,Remove this redundant continue.,Code Hygiene
python:S3699,BUG,MAJOR,5min,"Remove this use of the output from ""update""; ""update"" doesn’t return anything.",Logic Error
python:S3776,CODE_SMELL,CRITICAL,9min,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,Code Complexity
python:S3827,BUG,BLOCKER,10min,lora_dir is used before it is defined. Move the definition before.,Other
python:S3862,BUG,BLOCKER,5min,Replace this expression with an iterable object.,Other
python:S3923,BUG,MAJOR,15min,Remove this if statement or edit its code blocks so that they're not all the same.,Logic Error
python:S3981,BUG,MAJOR,2min,"The length of a collection is always "">=0"", so update this test to either ""==0"" or "">0"".",Other
python:S3984,BUG,MAJOR,2min,Raise this exception or remove this useless statement.,Error Handling
python:S4143,BUG,MAJOR,5min,Verify this is the key that was intended; a value has already been saved for it on line 251.,Other
python:S4144,CODE_SMELL,MAJOR,15min,Update this function so that its implementation is not identical to SendTransaction on line 52.,Code Complexity
python:S4487,CODE_SMELL,CRITICAL,5min,Remove this unread private attribute '__properties' or refactor the code to use its value.,Other
python:S4830,VULNERABILITY,CRITICAL,5min,Enable server certificate validation on this SSL/TLS connection.,Security
python:S5361,CODE_SMELL,CRITICAL,2min,"Replace this ""re.sub()"" call by a ""str.replace()"" function call.",Other
python:S5445,VULNERABILITY,CRITICAL,10min,'tempfile.mktemp' is insecure. Use 'tempfile.TemporaryFile' instead,Security
python:S5527,VULNERABILITY,CRITICAL,5min,Enable server hostname verification on this SSL/TLS connection.,Security
python:S5603,CODE_SMELL,MAJOR,5min,Remove this unused class declaration.,Other
python:S5607,BUG,BLOCKER,20min,"Fix this invalid ""-"" operation between incompatible types (NDFrame and NDFrame).",Other
python:S5632,BUG,BLOCKER,5min,Change this code so that it raises an object deriving from BaseException.,Error Handling
python:S5642,BUG,BLOCKER,20min,Change the type of original_payload; type NoneType does not support membership protocol.,Other
python:S5644,BUG,BLOCKER,20min,"Fix this code; ""original_payload"" does not have a ""__getitem__"" method.",Other
python:S5655,CODE_SMELL,CRITICAL,20min,"Change this argument; Function ""get_should_update_trending"" expects a different type",Other
python:S5659,VULNERABILITY,CRITICAL,30min,Don't use a JWT token without verifying its signature.,Security
python:S5685,CODE_SMELL,MINOR,10min,"Move this assignment out of the argument list; "":="" operator is confusing in this context.",Other
python:S5709,CODE_SMELL,CRITICAL,10min,"Derive this class from ""Exception"" instead of ""GeneratorExit"".",Error Handling
python:S5713,CODE_SMELL,MINOR,1min,Remove this redundant Exception class; it derives from another which is already caught.,Error Handling
python:S5717,CODE_SMELL,CRITICAL,5min,"Change this default value to ""None"" and initialize this parameter inside the function/method.",Other
python:S5719,BUG,BLOCKER,5min,"Add a ""self"" or class parameter",Other
python:S5720,CODE_SMELL,CRITICAL,5min,"Rename ""name"" to ""self"" or add the missing ""self"" parameter.",Other
python:S5727,CODE_SMELL,CRITICAL,10min,Remove this identity check; it will always be True.,Other
python:S5747,CODE_SMELL,CRITICAL,10min,"Remove this ""raise"" statement or move it inside an ""except"" block.",Error Handling
python:S5754,CODE_SMELL,CRITICAL,5min,Specify an exception class to catch or reraise the exception,Error Handling
python:S5780,CODE_SMELL,MAJOR,5min,Change or remove duplicates of this key.,Other
python:S5795,CODE_SMELL,MAJOR,1min,"Replace this ""is not"" operator with ""!=""; identity operator is not reliable here.",Logic Error
python:S5796,BUG,MAJOR,5min,"Replace this ""is"" operator with ""=="".",Logic Error
python:S5797,CODE_SMELL,CRITICAL,2min,Replace this expression; used as a condition it will always be constant.,Logic Error
python:S5799,CODE_SMELL,MAJOR,1min,Merge these implicitly concatenated strings; or did you forget a comma?,Other
python:S5806,CODE_SMELL,MAJOR,5min,Rename this variable; it shadows a builtin.,Other
python:S5807,BUG,BLOCKER,1min,"Change or remove this string; ""HFModel"" is not defined.",Other
python:S5842,BUG,MINOR,5min,Rework this part of the regex to not match the empty string.,Regex Issues
python:S5843,CODE_SMELL,MAJOR,10min,Simplify this regular expression to reduce its complexity from 22 to the 20 allowed.,Regex Issues
python:S5850,BUG,MAJOR,10min,Group parts of the regex together to make the intended operator precedence explicit.,Regex Issues
python:S5855,BUG,MAJOR,5min,Remove or rework this redundant alternative.,Regex Issues
python:S5857,CODE_SMELL,MINOR,3min,"Replace this use of a reluctant quantifier with ""[^\)]*"".",Regex Issues
python:S5864,CODE_SMELL,MAJOR,5min,"Fix this ""__getitem__"" operation; Previous type checks suggest that ""cls"" does not have this method.",Other
python:S5869,CODE_SMELL,MAJOR,5min,Remove duplicates in this character class.,Regex Issues
python:S5886,CODE_SMELL,MAJOR,5min,"Return a value of type ""NoneType"" instead of ""dict"" or update function ""generate_mock_ant_hr_data"" type hint.",Other
python:S5890,CODE_SMELL,MAJOR,5min,"Assign to ""value"" a value of type ""str"" instead of ""int"" or update its type hint.",Other
python:S5899,CODE_SMELL,MAJOR,2min,"Rename this method so that it starts with ""test"" or remove this unused helper.",Other
python:S5905,BUG,BLOCKER,1min,Fix this assertion on a tuple literal.,Other
python:S5906,CODE_SMELL,MINOR,1min,"Consider using ""assertTrue"" instead.",Other
python:S5914,CODE_SMELL,MAJOR,5min,Replace this expression; its boolean value is constant.,Other
python:S5915,BUG,CRITICAL,5min,Don’t perform an assertion here; An exception is expected to be raised before its execution.,Other
python:S5918,CODE_SMELL,MINOR,2min,Skip this test explicitly.,Other
python:S5996,BUG,CRITICAL,10min,Remove or replace this boundary that will never match because it appears after mandatory input.,Regex Issues
python:S6019,CODE_SMELL,MAJOR,10min,Fix this reluctant quantifier that will only ever match 0 repetitions.,Regex Issues
python:S6035,CODE_SMELL,MAJOR,5min,Replace this alternation with a character class.,Regex Issues
python:S6323,BUG,MAJOR,5min,Remove this empty alternative.,Regex Issues
python:S6326,CODE_SMELL,MAJOR,5min,Replace spaces with quantifier `{4}`.,Regex Issues
python:S6353,CODE_SMELL,MINOR,5min,Use concise character class syntax '\d' instead of '[0-9]'.,Regex Issues
python:S6395,CODE_SMELL,MAJOR,5min,Unwrap this unnecessarily grouped subpattern.,Regex Issues
python:S6396,CODE_SMELL,MAJOR,5min,Remove this unnecessary quantifier.,Regex Issues
python:S6397,CODE_SMELL,MAJOR,5min,Replace this character class by the character itself.,Regex Issues
python:S6553,CODE_SMELL,MAJOR,5min,"Remove this ""null=True"" flag.",Other
python:S6559,CODE_SMELL,MAJOR,5min,"Set the fields of this form explicitly instead of using ""__all__"".",Other
python:S6659,CODE_SMELL,MINOR,5min,Use `startswith` here.,Other
python:S6660,CODE_SMELL,MINOR,2min,Use the `isinstance()` function here.,Other
python:S6662,BUG,MAJOR,5min,Make sure this expression is hashable.,Other
python:S6663,BUG,MAJOR,5min,Make sure this object defines an `__index__` method.,Other
python:S6709,CODE_SMELL,MAJOR,5min,Provide a seed for this random generator.,Data Science
python:S6711,CODE_SMELL,MAJOR,5min,"Use a ""numpy.random.Generator"" here instead of this legacy function.",Data Science
python:S6729,CODE_SMELL,CRITICAL,5min,"Use ""np.nonzero"" when only the condition parameter is provided to ""np.where"".",Data Science
python:S6730,CODE_SMELL,MAJOR,5min,"Replace this deprecated ""numpy"" type alias with the builtin type ""bool"".",Data Science
python:S6734,CODE_SMELL,CRITICAL,5min,"Do not use ""inplace=True"" when modifying a dataframe.",Data Science
python:S6735,CODE_SMELL,MAJOR,5min,"Specify the ""validate"" parameter of this merge.",Data Science
python:S6779,VULNERABILITY,BLOCKER,30min,"Don't disclose ""Flask"" secret keys.",Security
python:S6887,CODE_SMELL,CRITICAL,5min,"Don't pass a ""pytz.timezone"" to the ""datetime.datetime"" constructor.",Other
python:S6903,CODE_SMELL,CRITICAL,5min,Don't use `datetime.datetime.utcnow` to create this datetime object.,Other
python:S6929,CODE_SMELL,MAJOR,5min,Provide a value for the dim argument.,Data Science
python:S6973,CODE_SMELL,MAJOR,5min,Add the missing hyperparameter weight_decay for this PyTorch optimizer.,Data Science
python:S6984,BUG,CRITICAL,5min,Provide a valid einops pattern.,Data Science
python:S905,BUG,MAJOR,10min,Remove or refactor this statement; it has no side effects.,Other
python:S930,BUG,BLOCKER,10min,Remove 1 unexpected arguments; 'print_error' expects 1 positional arguments.,Other
ruby:S100,CODE_SMELL,MINOR,5min,"Rename function ""TestImageInputAnthropic"" to match the regular expression ^(@{0,2}[\da-z_]+[!?=]?)|([*+-/%=!><~]+)|(\[]=?)$",Naming Conventions
ruby:S101,CODE_SMELL,MINOR,5min,"Rename class ""OptionalTest_Prop1"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.",Naming Conventions
ruby:S1066,CODE_SMELL,MAJOR,5min,"Merge this ""if"" statement with the nested one.",Other
ruby:S107,CODE_SMELL,MAJOR,20min,"This function has 9 parameters, which is greater than the 7 authorized.",Code Complexity
ruby:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
ruby:S1135,CODE_SMELL,INFO,0min,Complete the task associated to this TODO comment.,Code Hygiene
ruby:S117,CODE_SMELL,MINOR,2min,"Rename this parameter to match the regular expression ""^(@{0,2}[\da-z_]+[!?=]?)|([*+-/%=!><~]+)|(\[]=?)$"".",Naming Conventions
ruby:S1172,CODE_SMELL,MAJOR,5min,"Remove this unused function parameter ""reservation"".",Code Hygiene
ruby:S1186,CODE_SMELL,CRITICAL,5min,Add a nested comment explaining why this function is empty or complete the implementation.,Empty/Incomplete Code
ruby:S1192,CODE_SMELL,CRITICAL,6min,"Define a constant instead of duplicating this literal ""Order not found"" 3 times.",Code Complexity
ruby:S131,CODE_SMELL,CRITICAL,5min,"Add a default clause to this ""case"" statement.",Other
ruby:S1481,CODE_SMELL,MINOR,5min,"Remove this unused ""s3_client"" local variable.",Code Hygiene
ruby:S3776,CODE_SMELL,CRITICAL,8min,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,Code Complexity
ruby:S4144,CODE_SMELL,MAJOR,15min,"Update this function so that its implementation is not identical to ""example_passed"" on line 12.",Code Complexity
secrets:S6334,VULNERABILITY,BLOCKER,30min,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",Security
secrets:S6335,VULNERABILITY,BLOCKER,30min,"Make sure this service account key gets revoked, changed, and removed from the code.",Security
secrets:S6687,VULNERABILITY,BLOCKER,30min,"Make sure this Django key gets revoked, changed, and removed from the code.",Security
secrets:S6693,VULNERABILITY,BLOCKER,30min,"Make sure this SSH private key gets revoked, changed, and removed from the code.",Security
secrets:S6697,VULNERABILITY,BLOCKER,30min,Make sure this MySQL database password gets changed and removed from the code.,Security
secrets:S6698,VULNERABILITY,BLOCKER,30min,Make sure this PostgreSQL database password gets changed and removed from the code.,Security
secrets:S6703,VULNERABILITY,BLOCKER,30min,Make sure this database password gets changed and removed from the code.,Security
secrets:S6706,VULNERABILITY,BLOCKER,30min,"Make sure this private key gets revoked, changed, and removed from the code.",Security
secrets:S6739,VULNERABILITY,BLOCKER,30min,"Make sure these Redis credentials get revoked, changed, and removed from the code.",Security
terraform:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
terraform:S4423,VULNERABILITY,CRITICAL,2min,"Set ""security_policy"" to disable support of older TLS versions.",Security
terraform:S6273,CODE_SMELL,MINOR,5min,"Rename tag key ""ftl:cluster"" to match the regular expression ""^([A-Z][A-Za-z]*:)*([A-Z][A-Za-z]*)$"".",Naming Conventions
terraform:S6321,VULNERABILITY,MINOR,5min,Restrict IP addresses authorized to access administration services.,Security
typescript:S101,CODE_SMELL,MINOR,5min,"Rename interface ""migrationTicketAPIResponse"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.",Naming Conventions
typescript:S1068,CODE_SMELL,MAJOR,5min,'#scrollEffect' is defined but never used.,Code Hygiene
typescript:S107,CODE_SMELL,MAJOR,20min,Async arrow function has too many parameters (10). Maximum allowed is 7.,Code Complexity
typescript:S1077,CODE_SMELL,MINOR,5min,"img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.",Accessibility
typescript:S108,CODE_SMELL,MAJOR,5min,Empty block statement.,Error Handling
typescript:S1082,BUG,MINOR,5min,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",Accessibility
typescript:S1090,CODE_SMELL,MINOR,5min,<iframe> elements must have a unique title property.,Accessibility
typescript:S1119,CODE_SMELL,MAJOR,30min,Refactor the code to remove this label and the need for it.,Other
typescript:S1121,CODE_SMELL,MAJOR,5min,"Extract the assignment of ""handlers[ name ]"" from this expression.",Other
typescript:S1125,CODE_SMELL,MINOR,5min,Refactor the code to avoid using this boolean literal.,Code Style
typescript:S1128,CODE_SMELL,MINOR,1min,Remove this unused import of 'Badge'.,Code Hygiene
typescript:S1134,CODE_SMELL,MAJOR,0min,Take the required action to fix the issue indicated by this comment.,Code Hygiene
typescript:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
typescript:S1143,BUG,CRITICAL,30min,Unsafe usage of ReturnStatement.,Error Handling
typescript:S1186,CODE_SMELL,CRITICAL,5min,Unexpected empty method 'something'.,Empty/Incomplete Code
typescript:S1199,CODE_SMELL,MINOR,10min,Nested block is redundant.,Other
typescript:S1226,BUG,MINOR,5min,"Introduce a new variable or use its initial value before reassigning ""value"".",Other
typescript:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
typescript:S1264,CODE_SMELL,MINOR,5min,"Replace this ""for"" loop with a ""while"" loop.",Code Style
typescript:S128,CODE_SMELL,BLOCKER,10min,"End this switch case with an unconditional break, continue, return or throw statement.",Other
typescript:S1301,CODE_SMELL,MINOR,5min,"Replace this ""switch"" statement by ""if"" statements to increase readability.",Code Style
typescript:S1439,CODE_SMELL,MAJOR,20min,"Remove this ""action"" label.",Other
typescript:S1444,CODE_SMELL,MINOR,20min,Make this public static property readonly.,Other
typescript:S1479,CODE_SMELL,MAJOR,30min,Reduce the number of non-empty switch cases from 41 to at most 30.,Code Complexity
typescript:S1516,CODE_SMELL,MINOR,5min,Multiline support is limited to browsers supporting ES5 only.,Other
typescript:S1529,BUG,MAJOR,5min,"Review this use of bitwise ""&"" operator; conditional ""&&"" might have been intended.",Other
typescript:S1533,CODE_SMELL,MINOR,1min,"Replace this ""Number"" wrapper object with primitive type ""number"".",Other
typescript:S1534,BUG,MAJOR,5min,Duplicate name 'meta'.,Other
typescript:S1607,CODE_SMELL,MAJOR,10min,Remove this unit test or explain why it is ignored.,Other
typescript:S1656,BUG,MAJOR,3min,'prev' is assigned to itself.,Logic Error
typescript:S1751,BUG,MAJOR,5min,Refactor this loop to do more than one iteration.,Logic Error
typescript:S1763,BUG,MAJOR,5min,Unreachable code.,Logic Error
typescript:S1764,BUG,MAJOR,2min,"Correct one of the identical sub-expressions on both sides of operator ""&&""",Logic Error
typescript:S1788,CODE_SMELL,MAJOR,20min,Default parameters should be last.,Other
typescript:S1848,BUG,MAJOR,5min,"Either remove this useless object instantiation of ""Workflow"" or use it.",Other
typescript:S1854,CODE_SMELL,MAJOR,1min,"Remove this useless assignment to variable ""router"".",Code Hygiene
typescript:S1862,BUG,MAJOR,10min,This case duplicates the one on line 66,Logic Error
typescript:S1871,CODE_SMELL,MAJOR,10min,This branch's code block is the same as the block for the branch on line 134.,Logic Error
typescript:S1874,CODE_SMELL,MINOR,15min,'useUserOpTransferMutation' is deprecated.,API Usage
typescript:S1940,CODE_SMELL,MINOR,2min,Use the opposite operator (!==) instead.,Code Style
typescript:S1994,CODE_SMELL,CRITICAL,20min,"This loop's stop condition tests """" but the incrementer updates ""selectedNode"".",Other
typescript:S2004,CODE_SMELL,CRITICAL,20min,Refactor this code to not nest functions more than 4 levels deep.,Code Complexity
typescript:S2094,CODE_SMELL,MINOR,5min,Unexpected empty class.,Empty/Incomplete Code
typescript:S2137,BUG,MAJOR,10min,"Do not use ""Error"" to declare a variable - use another name.",Naming Conventions
typescript:S2201,BUG,MAJOR,5min,"The return value of ""reduce"" must be used.",Logic Error
typescript:S2234,CODE_SMELL,MAJOR,5min,Arguments 'documentKey' and 'externalRefsKey' have the same names but not the same order as the function parameters.,Other
typescript:S2301,CODE_SMELL,MAJOR,15min,"Provide multiple methods instead of using ""hasActiveDeposits"" to determine which action to take.",Other
typescript:S2310,CODE_SMELL,MAJOR,5min,"Remove this assignment of ""pos"".",Other
typescript:S2392,CODE_SMELL,MAJOR,2min,Consider moving declaration of 'diff' as it is referenced outside current binding context.,Other
typescript:S2430,CODE_SMELL,CRITICAL,5min,A constructor name should not start with a lowercase letter.,Naming Conventions
typescript:S2486,CODE_SMELL,MINOR,1h,Handle this exception or don't catch it at all.,Error Handling
typescript:S2589,CODE_SMELL,MAJOR,10min,This always evaluates to truthy. Consider refactoring this code.,Logic Error
typescript:S2598,VULNERABILITY,CRITICAL,20min,Restrict folder destination of uploaded files.,Security
typescript:S2681,CODE_SMELL,MAJOR,5min,This statement will not be executed conditionally; only the first statement will be. The rest will execute unconditionally.,Logic Error
typescript:S2692,CODE_SMELL,MAJOR,2min,This check ignores index 0; consider using 'includes' method to make this check safe and explicit.,Other
typescript:S2737,CODE_SMELL,MINOR,5min,Add logic to this catch clause or eliminate it and rethrow the exception automatically.,Error Handling
typescript:S2819,VULNERABILITY,CRITICAL,10min,Specify a target origin for this message.,Security
typescript:S2870,CODE_SMELL,MAJOR,5min,"Remove this use of ""delete"".",Other
typescript:S2871,BUG,CRITICAL,10min,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.",Logic Error
typescript:S2933,CODE_SMELL,MAJOR,2min,Member 'log' is never reassigned; mark it as `readonly`.,Other
